english	translation	category	sub_category	source
Looks after your farming tools.	照顾您的农具。 [zhao gu nin de nong ju 。]	examine	npc	Tool Leprechaun
A strange mole-like being.	一种像鼹鼠一样的奇怪生物。 [yi zhong xiang yan shu yi yang de qi guai sheng wu 。]	examine	npc	Molanisk
A very smelly ghost.	一个非常臭的鬼。 [yi ge fei chang chou de gui 。]	examine	npc	Aberrant spectre
An evil death demon.	邪恶的死亡恶魔。 [xie e de si wang e mo 。]	examine	npc	Nechryael
Reminds me of playing pooh sticks.	让我想起玩维尼棒。 [rang wo xiang qi wan wei ni bang 。]	examine	npc	Twig
An evil death spawn.	邪恶的死亡产生。 [xie e de si wang chan sheng 。]	examine	npc	Death spawn
It's another jolly tree gnome.	这是另一个快乐的树侏儒。 [zhe shi ling yi ge kuai le de shu zhu ru 。]	examine	npc	Hudo
A fan of Niles, Miles and Giles.	奈尔斯、迈尔斯和贾尔斯的粉丝。 [nai er si 、 mai er si he jia er si de fen si 。]	examine	npc	Piles
It's a well dressed tree gnome.	这是一个穿着考究的树侏儒。 [zhe shi yi ge chuan zhe kao jiu de shu zhu ru 。]	examine	npc	Rometti
He sells weapons.	他卖武器。 [ta mai wu qi 。]	examine	npc	Gulluck
A carpet merchant.	地毯商人。 [di tan shang ren 。]	examine	npc	Rug Merchant
A man who deals in rugs.	一个经营地毯的人。 [yi ge jing ying di tan de ren 。]	examine	npc	Rug Merchant
Perhaps our oldest relatives?	也许是我们最年长的亲戚？ [ye xu shi wo men zui nian zhang de qin qi ？]	examine	npc	Monkey
Dead man walking.	死人行走。 [si ren xing zou 。]	examine	npc	Zombie
Dead woman walking.	死去的女人在行走。 [si qu de nv ren zai hang zou 。]	examine	npc	Zombie
The walking dead.	行尸走肉。 [xing shi zou rou 。]	examine	npc	Zombie
The living dead.	活死人。 [huo si ren 。]	examine	npc	Summoned Zombie
Could do with gaining a few pounds.	可以增加几磅。 [ke yi zeng jia ji bang 。]	examine	npc	Skeleton
An undead worker of dark magic.	黑魔法的不死工作者。 [hei mo fa de bu si gong zuo zhe 。]	examine	npc	Skeleton Mage
Eeek! A ghost!	哎呀！鬼！ [ai ya ！ gui ！]	examine	npc	Ghost
No one likes crabs...	没有人喜欢螃蟹... [mei you ren xi huan pang xie ...]	examine	npc	Rock Crab
A rocky outcrop.	岩石露头。 [yan shi lou tou 。]	examine	npc	Rocks
Hello, nice doggy...	你好，可爱的小狗... [ni hao ， ke ai de xiao gou ...]	examine	npc	Hellhound
Not man's best friend.	不是人类最好的朋友。 [bu shi ren lei zui hao de peng you 。]	examine	npc	Wolf
A vicious mountain wolf.	凶恶的山狼。 [xiong e de shan lang 。]	examine	npc	White wolf
Must be the pack leader.	一定是群里的首领。 [yi ding shi qun li de shou ling 。]	examine	npc	Big Wolf
A social killer.	社会杀手。 [she hui sha shou 。]	examine	npc	Wolf
Bow wow.	鞠躬哇。 [ju gong wa 。]	examine	npc	Dog
Looks like it's got Rabies!	看来得了狂犬病！ [kan lai de le kuang quan bing ！]	examine	npc	Wild dog
An unsuitable pet.	不合适的宠物。 [bu he shi de chong wu 。]	examine	npc	Wild dog
