english	translation	category	sub_category	source
Dwarf remains	矮人遗骸 [ai ren yi hai]	name	item	Dwarf remains
Toolkit	工具包 [gong ju bao]	name	item	Toolkit
Cannonball	炮弹 [pao dan]	name	item	Cannonball
Nulodion's notes	努洛迪翁的笔记 [nu luo di weng de bi ji]	name	item	Nulodion's notes
Ammo mould	弹药模具 [dan yao mu ju]	name	item	Ammo mould
Instruction manual	使用说明书 [shi yong shuo ming shu]	name	item	Instruction manual
Cannon base	炮座 [pao zuo]	name	item	Cannon base
Cannon stand	炮台 [pao tai]	name	item	Cannon stand
Cannon barrels	炮筒 [pao tong]	name	item	Cannon barrels
Cannon furnace	加农炉 [jia nong lu]	name	item	Cannon furnace
Railing	栏杆 [lan gan]	name	item	Railing
Holy table napkin	圣餐巾 [sheng can jin]	name	item	Holy table napkin
Magic whistle	魔法哨子 [mo fa shao zi]	name	item	Magic whistle
Grail bell	圣杯钟 [sheng bei zhong]	name	item	Grail bell
Magic gold feather	魔法金羽毛 [mo fa jin yu mao]	name	item	Magic gold feather
Holy grail	圣杯 [sheng bei]	name	item	Holy grail
White cog	白色齿轮 [bai se chi lun]	name	item	White cog
Black cog	黑色齿轮 [hei se chi lun]	name	item	Black cog
Blue cog	蓝色齿轮 [lan se chi lun]	name	item	Blue cog
Red cog	红色齿轮 [hong se chi lun]	name	item	Red cog
Rat poison	老鼠药 [lao shu yao]	name	item	Rat poison
Red vine worm	红藤虫 [hong teng chong]	name	item	Red vine worm
Fishing trophy	钓鱼奖杯 [diao yu jiang bei]	name	item	Fishing trophy
Fishing pass	钓鱼通行证 [diao yu tong xing zheng]	name	item	Fishing pass
Insect repellent	驱虫剂 [qu chong ji]	name	item	Insect repellent
Bucket of wax	一桶蜡 [yi tong la]	name	item	Bucket of wax
Lit black candle	点燃黑色蜡烛 [dian ran hei se la zhu]	name	item	Lit black candle
Lit candle	点燃蜡烛 [dian ran la zhu]	name	item	Lit candle
Excalibur	神剑 [shen jian]	name	item	Excalibur
Candle	蜡烛 [la zhu]	name	item	Candle
Black candle	黑蜡烛 [hei la zhu]	name	item	Black candle
Bronze arrowtips	青铜箭头 [qing tong jian tou]	name	item	Bronze arrowtips
Iron arrowtips	铁箭尖 [tie jian jian]	name	item	Iron arrowtips
Steel arrowtips	钢箭头 [gang jian tou]	name	item	Steel arrowtips
Mithril arrowtips	秘银箭头 [mi yin jian tou]	name	item	Mithril arrowtips
Adamant arrowtips	坚固的箭头 [jian gu de jian tou]	name	item	Adamant arrowtips
Rune arrowtips	符文箭头提示 [fu wen jian tou ti shi]	name	item	Rune arrowtips
Opal bolt tips	蛋白石螺栓头 [dan bai shi luo shuan tou]	name	item	Opal bolt tips
Pearl bolt tips	珍珠螺栓提示 [zhen zhu luo shuan ti shi]	name	item	Pearl bolt tips
Barb bolttips	倒钩螺栓头 [dao gou luo shuan tou]	name	item	Barb bolttips
Longbow (u)	长弓 (u) [zhang gong  (u)]	name	item	Longbow (u)
Shortbow (u)	短弓 (u) [duan gong  (u)]	name	item	Shortbow (u)
Arrow shaft	箭轴 [jian zhou]	name	item	Arrow shaft
Headless arrow	无头箭 [wu tou jian]	name	item	Headless arrow
Oak shortbow (u)	橡木短弓 (u) [xiang mu duan gong  (u)]	name	item	Oak shortbow (u)
Oak longbow (u)	橡木长弓 (u) [xiang mu zhang gong  (u)]	name	item	Oak longbow (u)
Willow longbow (u)	柳树长弓 (u) [liu shu zhang gong  (u)]	name	item	Willow longbow (u)
Willow shortbow (u)	柳短弓 (u) [liu duan gong  (u)]	name	item	Willow shortbow (u)
Maple longbow (u)	枫木长弓 (u) [feng mu zhang gong  (u)]	name	item	Maple longbow (u)
Maple shortbow (u)	枫木短弓 (u) [feng mu duan gong  (u)]	name	item	Maple shortbow (u)
Yew longbow (u)	紫杉长弓 (u) [zi shan zhang gong  (u)]	name	item	Yew longbow (u)
Yew shortbow (u)	紫杉短弓 (u) [zi shan duan gong  (u)]	name	item	Yew shortbow (u)
Magic longbow (u)	魔法长弓 (u) [mo fa zhang gong  (u)]	name	item	Magic longbow (u)
Magic shortbow (u)	魔法短弓 (u) [mo fa duan gong  (u)]	name	item	Magic shortbow (u)
Khazard helmet	卡扎德头盔 [ka zha de tou kui]	name	item	Khazard helmet
Khazard armour	卡扎尔铠甲 [ka zha er kai jia]	name	item	Khazard armour
Khazard cell keys	卡扎德细胞钥匙 [ka zha de xi bao yao shi]	name	item	Khazard cell keys
Khali brew	哈利酿造 [ha li niang zao]	name	item	Khali brew
