english	translation	category	sub_category	source
Destroy	破坏 [po huai]	inventoryActions	item	Dwarf remains
Drop	降低 [jiang di]	inventoryActions	item	Cannonball
Read	读 [du]	inventoryActions	item	Nulodion's notes
Set-up	设置 [she zhi]	inventoryActions	item	Cannon base
Blow	吹 [chui]	inventoryActions	item	Magic whistle
Ring	戒指 [jie zhi]	inventoryActions	item	Grail bell
Blow-on	吹气式 [chui qi shi]	inventoryActions	item	Magic gold feather
Extinguish	熄灭 [xi mie]	inventoryActions	item	Lit black candle
Wield	挥 [hui]	inventoryActions	item	Excalibur
Wear	穿 [chuan]	inventoryActions	item	Khazard helmet
Empty	空的 [kong de]	inventoryActions	item	Guam potion (unf)
Drink	喝 [he]	inventoryActions	item	Strength potion(4)
Clean	干净的 [gan jing de]	inventoryActions	item	Grimy guam leaf
Eat	吃 [chi]	inventoryActions	item	Jangerberries
Equip	装备 [zhuang bei]	inventoryActions	item	Cattleprod
Plant	植物 [zhi wu]	inventoryActions	item	Mithril seeds
Open	打开 [da kai]	inventoryActions	item	Casket
Throw	扔 [reng]	inventoryActions	item	Bird feed
Bury	埋葬 [mai zang]	inventoryActions	item	Bones
Inspect	检查 [jian cha]	inventoryActions	item	Ghost's skull
Bail-with	保释 [bao shi]	inventoryActions	item	Bailing bucket
Activate	激活 [ji huo]	inventoryActions	item	Locating crystal
Search	搜索 [sou suo]	inventoryActions	item	Panning tray
Polish	抛光 [pao guang]	inventoryActions	item	Buttons
Look-at	看看 [kan kan]	inventoryActions	item	Level 1 certificate
Complete	完全的 [wan quan de]	inventoryActions	item	Radimus notes
Swing	摇摆 [yao bai]	inventoryActions	item	Bullroarer
Look	看 [kan]	inventoryActions	item	Sketch
Enchant-Vials	附魔瓶 [fu mo ping]	inventoryActions	item	Binding book
Investigate	调查 [diao cha]	inventoryActions	item	Dark dagger
Cast Spell	施展法术 [shi zhan fa shu]	inventoryActions	item	Holy force
Hold	抓住 [zhua zhu]	inventoryActions	item	Gnomeball
Dig	挖 [wa]	inventoryActions	item	Spade
Blackout	停电 [ting dian]	inventoryActions	item	Disk of returning
Check	查看 [cha kan]	inventoryActions	item	Iban's staff
Locate	定位 [ding wei]	inventoryActions	item	Air talisman
Rub-together	擦在一起 [ca zai yi qi]	inventoryActions	item	Dry sticks
Study	学习 [xue xi]	inventoryActions	item	Map part
Rub	擦 [ca]	inventoryActions	item	Amulet of glory
Edgeville	埃奇维尔 [ai qi wei er]	inventoryActions	item	Amulet of glory(1)
Karamja	卡拉姆贾 [ka la mu jia]	inventoryActions	item	Amulet of glory(1)
Draynor Village	德拉诺村 [de la nuo cun]	inventoryActions	item	Amulet of glory(1)
Al Kharid	阿尔卡里德 [a er ka li de]	inventoryActions	item	Amulet of glory(1)
Tan Leather	棕褐色皮革 [zong he se pi ge]	inventoryActions	item	Leather
