english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.		lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut and the Shayzien basic course.		lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Falador south wall with a mithril grapple.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stones in Karamja Dungeon.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump the fence south of Varrock.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Yanille Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use a Kourend Catacombs Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Grand Exchange Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon.		lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale the Observatory cliff with a mithril grapple.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Kourend Catacombs pillar jump Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the lower cliffside climb by Mount Karuulm.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun		lvl_up_msg	Transcript of Agility	Transcript of Agility
the Cold War quest.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can now use the Shilo Village river crossing.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Ardougne log balance Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Barbarian Agility Course and the Varrock Palace Garden Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
