english	translation	category	sub_category	source
Study	学习 [xue xi]	actions	item	Fire
Remove	消除 [xiao chu]	actions	item	Oak lectern
Lay	莱 [lai]	actions	item	Bird snare
Activate	激活 [ji huo]	actions	item	Magic box
Crush	压碎 [ya sui]	actions	item	Smouldering heart
Eat-from	吃自 [chi zi]	actions	item	Smouldering pile of flesh
Examine	检查 [jian cha]	actions	item	
Take	拿 [na]	actions	item	
Light	光 [guang]	actions	item	
(Members)	（会员） [（ hui yuan ）]	actions	item	
Walk here	步行到这里 [bu xing dao zhe li]	actions	manual	
Cancel	取消 [qu xiao]	actions	manual	
Accurate	准确的 [zhun que de]	actions	menu	combatOptionsTab
Aggressive	挑衅的 [tiao xin de]	actions	menu	combatOptionsTab
Defensive	防守型 [fang shou xing]	actions	menu	combatOptionsTab
Controlled	受控 [shou kong]	actions	menu	combatOptionsTab
Chop	劈 [pi]	actions	menu	combatOptionsTab
Slash	削减 [xue jian]	actions	menu	combatOptionsTab
Stab	刺 [ci]	actions	menu	combatOptionsTab
Block	堵塞 [du se]	actions	menu	combatOptionsTab
Pound	磅 [bang]	actions	menu	combatOptionsTab
Pummel	揍 [zou]	actions	menu	combatOptionsTab
Spike	长钉 [zhang ding]	actions	menu	combatOptionsTab
Impale	刺穿 [ci chuan]	actions	menu	combatOptionsTab
Smash	粉碎 [fen sui]	actions	menu	combatOptionsTab
Lunge	弓步 [gong bu]	actions	menu	combatOptionsTab
Swipe	滑动 [hua dong]	actions	menu	combatOptionsTab
Hack	黑客 [hei ke]	actions	menu	combatOptionsTab
Reap	收割 [shou ge]	actions	menu	combatOptionsTab
Rapid	迅速的 [xun su de]	actions	menu	combatOptionsTab
Longrange	远程 [yuan cheng]	actions	menu	combatOptionsTab
Flick	弗利克 [fu li ke]	actions	menu	combatOptionsTab
Lash	睫毛 [jie mao]	actions	menu	combatOptionsTab
Deflect	偏转 [pian zhuan]	actions	menu	combatOptionsTab
Fend	芬德 [fen de]	actions	menu	combatOptionsTab
Bash	重击 [zhong ji]	actions	menu	combatOptionsTab
Blaze	火焰 [huo yan]	actions	menu	combatOptionsTab
Scorch	烧焦 [shao jiao]	actions	menu	combatOptionsTab
Flare	耀斑 [yao ban]	actions	menu	combatOptionsTab
Punch	冲床 [chong chuang]	actions	menu	combatOptionsTab
Kick	踢 [ti]	actions	menu	combatOptionsTab
Hide	隐藏 [yin cang]	actions	menu	prayerTab
Activate	激活 [ji huo]	actions	menu	prayerTab
Unhide	取消隐藏 [qu xiao yin cang]	actions	menu	prayerTab
Deactivate	停用 [ting yong]	actions	menu	prayerTab
Animation	动画片 [dong hua pian]	actions	menu	spellBookTab
Hide	隐藏 [yin cang]	actions	menu	spellBookTab
Cast	投掷 [tou zhi]	actions	menu	spellBookTab
Unhide	取消隐藏 [qu xiao yin cang]	actions	menu	spellBookTab
View	看法 [kan fa]	actions	menu	spellBookTab
Warnings	警告 [jing gao]	actions	menu	spellBookTab
Configure	配置 [pei zhi]	actions	menu	spellBookTab
