english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	被哥布林蹂躏的矮人的尸体。 [bei ge bu lin rou lin de ai ren de shi ti 。]	examine	item	Dwarf remains
Good for repairing broken cannons.	非常适合修复损坏的大炮。 [fei chang shi he xiu fu sun huai de da pao 。]	examine	item	Toolkit
Ammo for the Dwarf Cannon.	矮人大炮的弹药。 [ai ren da pao de dan yao 。]	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	矮人大炮弹药的制作说明。 [ai ren da pao dan yao de zhi zuo shuo ming 。]	examine	item	Nulodion's notes
Used to make cannon ammunition.	用于制造大炮弹药。 [yong yu zhi zao da pao dan yao 。]	examine	item	Ammo mould
An old note book.	一本旧笔记本。 [yi ben jiu bi ji ben 。]	examine	item	Instruction manual
The cannon is built on this.	大炮就是以此为基础建造的。 [da pao jiu shi yi ci wei ji chu jian zao de 。]	examine	item	Cannon base
The mounting for the multicannon.	多加农炮的安装。 [duo jia nong pao de an zhuang 。]	examine	item	Cannon stand
The barrels of the multicannon.	多管大炮的炮管。 [duo guan da pao de pao guan 。]	examine	item	Cannon barrels
This powers the multicannon.	这为多加农炮提供动力。 [zhe wei duo jia nong pao ti gong dong li 。]	examine	item	Cannon furnace
A metal railing replacement.	金属栏杆更换。 [jin shu lan gan geng huan 。]	examine	item	Railing
A cloth given to me by Sir Galahad.	加拉哈德爵士给我的一块布。 [jia la ha de jue shi gei wo de yi kuai bu 。]	examine	item	Holy table napkin
A small tin whistle.	一个小锡哨子。 [yi ge xiao xi shao zi 。]	examine	item	Magic whistle
I wonder what happens when I ring it?	我想知道当我按响它时会发生什么？ [wo xiang zhi dao dang wo an xiang ta shi hui fa sheng shen me ？]	examine	item	Grail bell
It will point the way for me.	它将为我指明道路。 [ta jiang wei wo zhi ming dao lu 。]	examine	item	Magic gold feather
A holy and powerful artefact.	一件神圣而强大的神器。 [yi jian shen sheng er qiang da de shen qi 。]	examine	item	Holy grail
A cog from some machinery.	某些机器上的齿轮。 [mou xie ji qi shang de chi lun 。]	examine	item	White cog
Doesn't look very tasty.	看起来不是很好吃。 [kan qi lai bu shi hen hao chi 。]	examine	item	Rat poison
Wormy.	有虫。 [you chong 。]	examine	item	Red vine worm
Hemenster fishing contest trophy.	赫门斯特钓鱼比赛奖杯。 [he men si te diao yu bi sai jiang bei 。]	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	参加赫门斯特钓鱼比赛。 [can jia he men si te diao yu bi sai 。]	examine	item	Fishing pass
Drives away all known 6 legged creatures.	赶走所有已知的六足生物。 [gan zou suo you yi zhi de liu zu sheng wu 。]	examine	item	Insect repellent
It's a bucket of wax.	这是一桶蜡。 [zhe shi yi tong la 。]	examine	item	Bucket of wax
A lit spooky candle.	一根点燃的幽灵蜡烛。 [yi gen dian ran de you ling la zhu 。]	examine	item	Lit black candle
A lit candle.	一根点燃的蜡烛。 [yi gen dian ran de la zhu 。]	examine	item	Lit candle
This used to belong to King Arthur.	这曾经属于亚瑟王。 [zhe ceng jing shu yu ya se wang 。]	examine	item	Excalibur
A candle.	一支蜡烛。 [yi zhi la zhu 。]	examine	item	Candle
A spooky candle.	一支诡异的蜡烛。 [yi zhi gui yi de la zhu 。]	examine	item	Black candle
I can make some arrows with these.	我可以用这些制作一些箭头。 [wo ke yi yong zhe xie zhi zuo yi xie jian tou 。]	examine	item	Bronze arrowtips
Opal bolt tips.	蛋白石螺栓头。 [dan bai shi luo shuan tou 。]	examine	item	Opal bolt tips
Pearl bolt tips.	珍珠螺栓提示。 [zhen zhu luo shuan ti shi 。]	examine	item	Pearl bolt tips
I can make bolts with these.	我可以用这些制作螺栓。 [wo ke yi yong zhe xie zhi zuo luo shuan 。]	examine	item	Barb bolttips
I need to find a string for this.	我需要为此找到一个字符串。 [wo xu yao wei ci zhao dao yi ge zi fu chuan 。]	examine	item	Longbow (u)
A wooden arrow shaft.	木制箭杆。 [mu zhi jian gan 。]	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	附有箭尾的木制箭杆。 [fu you jian wei de mu zhi jian gan 。]	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	未上弦的橡木短弓；为此我需要一根弓弦。 [wei shang xian de xiang mu duan gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	未上弦的橡木长弓；为此我需要一根弓弦。 [wei shang xian de xiang mu zhang gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	未上弦的柳木长弓；为此我需要一根弓弦。 [wei shang xian de liu mu zhang gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	未上弦的柳木短弓；为此我需要一根弓弦。 [wei shang xian de liu mu duan gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	未上弦的枫木长弓；为此我需要一根弓弦。 [wei shang xian de feng mu zhang gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	未上弦的枫木短弓；为此我需要一根弓弦。 [wei shang xian de feng mu duan gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	未上弦的紫杉长弓；为此我需要一根弓弦。 [wei shang xian de zi shan zhang gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	未上弦的紫杉短弓；为此我需要一根弓弦。 [wei shang xian de zi shan duan gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	一把未上弦的魔法长弓；为此我需要一根弓弦。 [yi ba wei shang xian de mo fa zhang gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	未上弦的魔法短弓；为此我需要一根弓弦。 [wei shang xian de mo fa duan gong ； wei ci wo xu yao yi gen gong xian 。]	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	卡扎德将军的部下所戴的头盔。 [ka zha de jiang jun de bu xia suo dai de tou kui 。]	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	卡扎德将军的部下所穿的盔甲。 [ka zha de jiang jun de bu xia suo chuan de kui jia 。]	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	这些钥匙可以打开 Khazard 战斗竞技场的牢房（用于战斗竞技场任务）。 [zhe xie yao shi ke yi da kai  Khazard  zhan dou jing ji chang de lao fang （ yong yu zhan dou jing ji chang ren wu ）。]	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	一瓶卡扎德最糟糕的啤酒。 [yi ping ka zha de zui zao gao de pi jiu 。]	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	只能用紫杉弓、魔法弓、暗弓或扭曲弓发射。 [zhi neng yong zi shan gong 、 mo fa gong 、 an gong huo niu qu gong fa she 。]	examine	item	Ice arrows
A lever to open something perhaps?	也许是一个可以打开什么东西的杠杆？ [ye xu shi yi ge ke yi da kai shen me dong xi de gang gan ？]	examine	item	Lever
The power in this staff causes it to vibrate gently.	这根法杖中的力量使它轻轻振动。 [zhe gen fa zhang zhong de li liang shi ta qing qing zhen dong 。]	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	它捕捉到了光！ （快速进入伊科夫神庙）。 [ta bu zhuo dao le guang ！ （ kuai su jin ru yi ke fu shen miao ）。]	examine	item	Shiny key
An amulet made by Lucien.	路西恩制作的护身符。 [lu xi en zhi zuo de hu shen fu 。]	examine	item	Pendant of lucien
Worn by followers of Armadyl.	由 Armadyl 的追随者佩戴。 [you  Armadyl  de zhui sui zhe pei dai 。]	examine	item	Armadyl pendant
Magic boots that make you lighter than normal.	神奇的靴子让你比平常更轻。 [shen qi de xue zi rang ni bi ping chang geng qing 。]	examine	item	Boots of lightness
It's very soft!	非常柔软！ [fei chang rou ruan ！]	examine	item	Child's blanket
I need another ingredient to finish this Guam potion.	我需要另一种成分来完成这关岛魔药。 [wo xu yao ling yi zhong cheng fen lai wan cheng zhe guan dao mo yao 。]	examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.	我需要另一种成分来完成这款马伦提尔药水。 [wo xu yao ling yi zhong cheng fen lai wan cheng zhe kuan ma lun ti er yao shui 。]	examine	item	Marrentill potion (unf)
