english	translation	category	sub_category	source
Redemption	赎回 [shu hui]	name	menu	prayerTab
Protect Item	保护物品 [bao hu wu pin]	name	menu	prayerTab
Incredible Reflexes	令人难以置信的反应 [ling ren nan yi zhi xin de fan ying]	name	menu	prayerTab
Sharp Eye	锐利的眼睛 [rui li de yan jing]	name	menu	prayerTab
Mystic Will	神秘意志 [shen mi yi zhi]	name	menu	prayerTab
Rock Skin	摇滚皮肤 [yao gun pi fu]	name	menu	prayerTab
Protect from Magic	防御魔法 [fang yu mo fa]	name	menu	prayerTab
Protect from Missiles	防御导弹 [fang yu dao dan]	name	menu	prayerTab
Protect from Melee	防御近战 [fang yu jin zhan]	name	menu	prayerTab
Thick Skin	脸皮厚 [lian pi hou]	name	menu	prayerTab
Retribution	报应 [bao ying]	name	menu	prayerTab
Mystic Might	神秘之力 [shen mi zhi li]	name	menu	prayerTab
Eagle Eye	鹰眼 [ying yan]	name	menu	prayerTab
Piety	虔诚 [qian cheng]	name	menu	prayerTab
Ultimate Strength	终极力量 [zhong ji li liang]	name	menu	prayerTab
Improved Reflexes	改善反应 [gai shan fan ying]	name	menu	prayerTab
Burst of Strength	力量爆发 [li liang bao fa]	name	menu	prayerTab
Mystic Lore	神秘传说 [shen mi chuan shuo]	name	menu	prayerTab
Augury	占卜 [zhan bu]	name	menu	prayerTab
Hawk Eye	鹰眼 [ying yan]	name	menu	prayerTab
Chivalry	骑士精神 [qi shi jing shen]	name	menu	prayerTab
Superhuman Strength	超人的力量 [chao ren de li liang]	name	menu	prayerTab
Rigour	严格 [yan ge]	name	menu	prayerTab
Smite	惩击 [cheng ji]	name	menu	prayerTab
Preserve	保存 [bao cun]	name	menu	prayerTab
Clarity of Thought	思路清晰 [si lu qing xi]	name	menu	prayerTab
Rapid Restore	快速恢复 [kuai su hui fu]	name	menu	prayerTab
Rapid Heal	快速治愈 [kuai su zhi yu]	name	menu	prayerTab
Steel Skin	钢皮 [gang pi]	name	menu	prayerTab
Lumbridge Home Teleport	朗布里奇家园传送 [lang bu li qi jia yuan chuan song]	name	menu	spellBookTab
Wind Strike	风袭 [feng xi]	name	menu	spellBookTab
Confuse	迷惑 [mi huo]	name	menu	spellBookTab
Crossbow Bolt Enchantments	十字弓螺栓附魔 [shi zi gong luo shuan fu mo]	name	menu	spellBookTab
Water Strike	水击 [shui ji]	name	menu	spellBookTab
Jewellery Enchantments	珠宝魅力 [zhu bao mei li]	name	menu	spellBookTab
Earth Strike	大地之击 [da di zhi ji]	name	menu	spellBookTab
Telekinetic Grab	心灵传动抓斗 [xin ling chuan dong zhua dou]	name	menu	spellBookTab
Bind	绑定 [bang ding]	name	menu	spellBookTab
Curse	诅咒 [zu zhou]	name	menu	spellBookTab
Wind Bolt	风箭 [feng jian]	name	menu	spellBookTab
Bones to Bananas	骨头到香蕉 [gu tou dao xiang jiao]	name	menu	spellBookTab
Fire Strike	火力打击 [huo li da ji]	name	menu	spellBookTab
Weaken	削弱 [xue ruo]	name	menu	spellBookTab
Low Level Alchemy	低级炼金术 [di ji lian jin shu]	name	menu	spellBookTab
Water Bolt	水箭 [shui jian]	name	menu	spellBookTab
Varrock Teleport	瓦洛克传送 [wa luo ke chuan song]	name	menu	spellBookTab
Earth Bolt	地球螺栓 [di qiu luo shuan]	name	menu	spellBookTab
Lumbridge Teleport	朗布里奇传送 [lang bu li qi chuan song]	name	menu	spellBookTab
Fire Bolt	火焰箭 [huo yan jian]	name	menu	spellBookTab
Falador Teleport	法拉多传送 [fa la duo chuan song]	name	menu	spellBookTab
Kourend Castle Teleport	库伦德城堡传送 [ku lun de cheng bao chuan song]	name	menu	spellBookTab
Water Blast	喷水 [pen shui]	name	menu	spellBookTab
Camelot Teleport	卡米洛传送 [ka mi luo chuan song]	name	menu	spellBookTab
Superheat Item	过热项目 [guo re xiang mu]	name	menu	spellBookTab
Wind Blast	风之冲击 [feng zhi chong ji]	name	menu	spellBookTab
Teleport to House	传送到房子 [chuan song dao fang zi]	name	menu	spellBookTab
