english	translation	category	sub_category	source
Hello.	你好。 [ni hao 。]	dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	啊，祝你有美好的一天[milady/sirrah]！你的脸很陌生，你是不是和我们一起登上了月岛的船？ [a ， zhu ni you mei hao de yi tian [milady/sirrah]！ ni de lian hen mo sheng ， ni shi bu shi he wo men yi qi deng shang le yue dao de chuan ？]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.	不，洛卡实际上让我在雷莱卡搭车。 [bu ， luo ka shi ji shang rang wo zai lei lai ka da che 。]	dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!	哦真的吗？在我看来你不像弗雷曼尼克人！ [o zhen de ma ？ zai wo kan lai ni bu xiang fu lei man ni ke ren ！]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.	嗯……我有点是，又有点不是。这是一个很长的故事。 [n …… wo you dian shi ， you you dian bu shi 。 zhe shi yi ge hen zhang de gu shi 。]	dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	抱歉我没时间听！再见，年轻的弗雷曼尼克，他不是真正的弗雷曼尼克！ [bao qian wo mei shi jian ting ！ zai jian ， nian qing de fu lei man ni ke ， ta bu shi zhen zheng de fu lei man ni ke ！]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
'Bye.	'再见。 [' zai jian 。]	dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?	你对于海盗来说是不是有点矮了？ [ni dui yu hai dao lai shuo shi bu shi you dian ai le ？]	dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.	我的母亲是一个侏儒。显然这是一次非常痛苦的分娩。 [wo de mu qin shi yi ge zhu ru 。 xian ran zhe shi yi ci fei chang tong ku de fen mian 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!	比我想要的更多信息，谢谢！ [bi wo xiang yao de geng duo xin xi ， xie xie ！]	dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!	啊啊！拉响警报！船上偷渡者！船上偷渡者！ [a a ！ la xiang jing bao ！ chuan shang tou du zhe ！ chuan shang tou du zhe ！]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!	不！我不是偷渡者！诚实的！我被邀请来到这里！ [bu ！ wo bu shi tou du zhe ！ cheng shi de ！ wo bei yao qing lai dao zhe li ！]	dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.	哦，抱歉，那是我的错误。 [o ， bao qian ， na shi wo de cuo wu 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.	但你必须承认你看起来确实很像一个偷渡者。 [dan ni bi xu cheng ren ni kan qi lai que shi hen xiang yi ge tou du zhe 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?	为什么，他们通常是什么样子？ [wei shen me ， ta men tong chang shi shen me yang zi ？]	dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...	呃……我从来没有真正见过一个…… [e …… wo cong lai mei you zhen zheng jian guo yi ge ……]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...	好吧，那么... [hao ba ， na me ...]	dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!	呜呜！这里很冷！ [wu wu ！ zhe li hen leng ！]	dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	你觉得这很冷吗？到了 Acheron 那里，天气变得非常寒冷，当你说话时，你会看到话语冻结在你面前的空气中！ [ni jue de zhe hen leng ma ？ dao le  Acheron  na li ， tian qi bian de fei chang han leng ， dang ni shuo hua shi ， ni hui kan dao hua yu dong jie zai ni mian qian de kong qi zhong ！]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?	真的吗？ [zhen de ma ？]	dialogue	'Beedy-eye' Jones	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!	不，不是真的。我为了达到幽默效果而夸张了。不过天气非常非常冷！ [bu ， bu shi zhen de 。 wo wei le da dao you mo xiao guo er kua zhang le 。 bu guo tian qi fei chang fei chang leng ！]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello.	你好。 [ni hao 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
So... You're a pirate, huh?	那么...你是海盗，是吧？ [na me ... ni shi hai dao ， shi ba ？]	dialogue	'Beedy-eye' Jones	Player
It's what it says on my pay-packet at the end of the month.	月底我的工资单上就是这么写的。 [yue di wo de gong zi dan shang jiu shi zhe me xie de 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
How's that working out for you?	你感觉怎么样？ [ni gan jue zen me yang ？]	dialogue	'Beedy-eye' Jones	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.	到目前为止还不错。我们可以掠夺的所有烈酒和战利品，再加上包括牙科在内的全套医疗服务。 [dao mu qian wei zhi hai bu cuo 。 wo men ke yi lve duo de suo you lie jiu he zhan li pin ， zai jia shang bao kuo ya ke zai nei de quan tao yi liao fu wu 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You mean you have insurance?	你是说你有保险？ [ni shi shuo ni you bao xian ？]	dialogue	'Beedy-eye' Jones	Player
Not as such. If any of us get sick we kidnap a doctor and don't let him go until we're better.	不是这样的。如果我们中的任何一个人生病了，我们就会绑架一名医生，直到我们病情好转之前不让他走。 [bu shi zhe yang de 。 ru guo wo men zhong de ren he yi ge ren sheng bing le ， wo men jiu hui bang jia yi ming yi sheng ， zhi dao wo men bing qing hao zhuan zhi qian bu rang ta zou 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You'd be surprised what an incentive for expert health care that is.	您会惊讶地发现，这对于专家医疗保健来说是多么大的激励。 [nin hui jing ya di fa xian ， zhe dui yu zhuan jia yi liao bao jian lai shuo shi duo me da de ji li 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I can imagine.	我可以想象。 [wo ke yi xiang xiang 。]	dialogue	'Beedy-eye' Jones	Player
Hello there. So what brings you aboard the Lady Zay?	你好呀。那么是什么让您登上了 Lady Zay 号呢？ [ni hao ya 。 na me shi shen me rang nin deng shang le  Lady Zay  hao ne ？]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well, I was planning on visiting the Moon Clan, but I have to say your ship is very impressive.	嗯，我原本打算去拜访月族，但我不得不说你们的船非常令人印象深刻。 [n ， wo yuan ben da suan qu bai fang yue zu ， dan wo bu de bu shuo ni men de chuan fei chang ling ren yin xiang shen ke 。]	dialogue	'Beedy-eye' Jones	Player
Aye, she's a beauty alright! The Lady Zay has been my home for many hard months, through storm and sun, and she always gets us to here we were headed!	是啊，果然是个美女啊！扎伊女士酒店一直是我的家，度过了许多艰难的几个月，经历了暴风雨和阳光，她总是带我们到达我们要去的地方！ [shi a ， guo ran shi ge mei nv a ！ zha yi nv shi jiu dian yi zhi shi wo de jia ， du guo le xu duo jian nan de ji ge yue ， jing li le bao feng yu he yang guang ， ta zong shi dai wo men dao da wo men yao qu de di fang ！]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yes, she's certainly one of the finest boats I've seen on my travels!	是的，她确实是我旅行中见过的最好的船之一！ [shi de ， ta que shi shi wo lv xing zhong jian guo de zui hao de chuan zhi yi ！]	dialogue	'Beedy-eye' Jones	Player
That she is [lad/lass], that she is.	她是[小伙子/姑娘]，她就是。 [ta shi [ xiao huo zi / gu niang ]， ta jiu shi 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello to you too.	也向你问好。 [ye xiang ni wen hao 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yar! We be pirates, yar! Avast, ye scurvy land-lubbing lychee!	呀！我们是海盗，耶！阿瓦斯特，你们这些坏血病的陆生荔枝！ [ya ！ wo men shi hai dao ， ye ！ a wa si te ， ni men zhe xie huai xue bing de lu sheng li zhi ！]	dialogue	'Beedy-eye' Jones	Player
Please don't talk like that, it is extremely irritating.	请不要这样说话，这太令人恼火了。 [qing bu yao zhe yang shuo hua ， zhe tai ling ren nao huo le 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Also, please don't call me a lychee, whatever that may be.	另外，请不要叫我荔枝，不管那是什么。 [ling wai ， qing bu yao jiao wo li zhi ， bu guan na shi shen me 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Oh. Okay. Sorry.	哦。好的。对不起。 [o 。 hao de 。 dui bu qi 。]	dialogue	'Beedy-eye' Jones	Player
So how's life as a pirate?	那么海贼的生活是怎样的呢？ [na me hai zei de sheng huo shi zen yang de ne ？]	dialogue	'Beedy-eye' Jones	Player
What kind of question is that? How's life as a... I dunno. Whatever it is that you do for a living.	这是什么问题？生活怎么样……我不知道。无论你以什么为生。 [zhe shi shen me wen ti ？ sheng huo zen me yang …… wo bu zhi dao 。 wu lun ni yi shen me wei sheng 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm a freelance troubleshooter.	我是一名自由疑难解答者。 [wo shi yi ming zi you yi nan jie da zhe 。]	dialogue	'Beedy-eye' Jones	Player
What does that entail then?	那么这意味着什么呢？ [na me zhe yi wei zhe shen me ne ？]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Mostly killing things for money and delivering items around the planet for people.	主要是为了钱而杀人，并为人们在地球各地运送物品。 [zhu yao shi wei le qian er sha ren ， bing wei ren men zai di qiu ge di yun song wu pin 。]	dialogue	'Beedy-eye' Jones	Player
I collect stuff.	我收集东西。 [wo shou ji dong xi 。]	dialogue	'Beedy-eye' Jones	Player
So how's that life?	那么这样的生活怎么样呢？ [na me zhe yang de sheng huo zen me yang ne ？]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Can't complain, can't complain...	不能抱怨，不能抱怨…… [bu neng bao yuan ， bu neng bao yuan ……]	dialogue	'Beedy-eye' Jones	Player
Well, there you go.	好吧，就这样吧。 [hao ba ， jiu zhe yang ba 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Sorry, can't stop, the Captain will have my guts for garters if he catches me slacking off talking to the stowaway.	抱歉，不能停下来，如果船长发现我偷懒地跟偷渡者说话，我的胆子会被吊袜带的。 [bao qian ， bu neng ting xia lai ， ru guo chuan zhang fa xian wo tou lan di gen tou du zhe shuo hua ， wo de dan zi hui bei diao wa dai de 。]	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard!	我不是偷渡者！我被邀请上船了！ [wo bu shi tou du zhe ！ wo bei yao qing shang chuan le ！]	dialogue	'Beedy-eye' Jones	Player
