english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.	敏捷性既可以提高不跑步时跑步能量的补充速度，又可以降低跑步时跑步能量的消耗速度。 [min jie xing ji ke yi ti gao bu pao bu shi pao bu neng liang de bu chong su du ， you ke yi jiang di pao bu shi pao bu neng liang de xiao hao su du 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.	您还可以使用 Gielinor 中有用的快捷方式；这些在地图上用绿色箭头标记。 [nin hai ke yi shi yong  Gielinor  zhong you yong de kuai jie fang shi ； zhe xie zai di tu shang yong lv se jian tou biao ji 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.	为了训练您的敏捷技能，您将需要敏捷课程；这些是一系列障碍，完成后会奖励经验。 [wei le xun lian nin de min jie ji neng ， nin jiang xu yao min jie ke cheng ； zhe xie shi yi xi lie zhang ai ， wan cheng hou hui jiang li jing yan 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut and the Shayzien basic course.	您现在可以使用 Falador Agility 快捷方式和 Shayzien 基础课程。 [nin xian zai ke yi shi yong  Falador Agility  kuai jie fang shi he  Shayzien  ji chu ke cheng 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	成员可以使用秘银抓斗穿过卢姆河到达阿尔卡里德并返回。 [cheng yuan ke yi shi yong mi yin zhua dou chuan guo lu mu he dao da a er ka li de bing fan hui 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	现在，您可以穿过绳索秋千到达莫斯巨人岛并使用海盗湾捷径。 [xian zai ， nin ke yi chuan guo sheng suo qiu qian dao da mo si ju ren dao bing shi yong hai dao wan jie jing 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Falador south wall with a mithril grapple.	成员可以使用秘银抓斗攀爬法拉多南墙。 [cheng yuan ke yi shi yong mi yin zhua dou pan pa fa la duo nan qiang 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stones in Karamja Dungeon.	您现在可以使用卡拉姆贾地牢中的垫脚石。 [nin xian zai ke yi shi yong ka la mu jia di lao zhong de dian jiao shi 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump the fence south of Varrock.	你现在可以跳过瓦罗克以南的栅栏。 [ni xian zai ke yi tiao guo wa luo ke yi nan de zha lan 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	您现在可以使用 Edgeville 和 Corsair Cove Dungeon 快捷方式下的猴子栏。 [nin xian zai ke yi shi yong  Edgeville  he  Corsair Cove Dungeon  kuai jie fang shi xia de hou zi lan 。]	lvl_up_msg	Transcript of Agility	Transcript of Agility
