english	translation	category	sub_category	source
Barbarian Assault	野蛮人袭击 [ye man ren xi ji]	manual	activity	
Blast Furnace	高炉 [gao lu]	manual	activity	
Castle Wars	城堡战争 [cheng bao zhan zheng]	manual	activity	
Fishing Trawler	拖网渔船 [tuo wang yu chuan]	manual	activity	
Burthorpe Games Room	伯索普游戏室 [bo suo pu you xi shi]	manual	activity	
Nightmare Zone	噩梦地带 [e meng di dai]	manual	activity	
Pest Control	害虫防治 [hai chong fang zhi]	manual	activity	
Rat Pits	老鼠坑 [lao shu keng]	manual	activity	
Shades of Mort'ton	莫顿的阴影 [mo dun de yin ying]	manual	activity	
Trouble Brewing	麻烦酝酿 [ma fan yun niang]	manual	activity	
TzHaar Fight Pit	茨哈尔格斗场 [ci ha er ge dou chang]	manual	activity	
Shield of Arrav	阿拉夫之盾 [a la fu zhi dun]	manual	activity	
Clan Wars	部落战争 [bu luo zhan zheng]	manual	activity	
Giants' Foundry	巨人铸造厂 [ju ren zhu zao chang]	manual	activity	
God Wars	神战 [shen zhan]	manual	activity	
Guardians of the Rift	裂痕守护者 [lie hen shou hu zhe]	manual	activity	
Dagannoth Kings	达甘诺斯国王 [da gan nuo si guo wang]	manual	activity	
Player Owned Houses	玩家拥有的房屋 [wan jia yong you de fang wu]	manual	activity	
Tithe Farm	什一税农场 [shen yi shui nong chang]	manual	activity	
Last Man Standing	最后一个站着的人 [zui hou yi ge zhan zhe de ren]	manual	activity	
Volcanic Mine	火山矿 [huo shan kuang]	manual	activity	
Theatre of Blood	血剧场 [xue ju chang]	manual	activity	
Soul Wars	灵魂战争 [ling hun zhan zheng]	manual	activity	
Shooting Stars	流星 [liu xing]	manual	activity	
Tombs of Amascut	阿马斯库特墓 [a ma si ku te mu]	manual	activity	
Mage Training Arena	法师训练场 [fa shi xun lian chang]	manual	activity	
Yes	是的 [shi de]	manual	emote	
No	不 [bu]	manual	emote	
Bow	弓 [gong]	manual	emote	
Angry	生气的 [sheng qi de]	manual	emote	
Think	思考 [si kao]	manual	emote	
Wave	海浪 [hai lang]	manual	emote	
Shrug	耸耸肩 [song song jian]	manual	emote	
Cheer	欢呼 [huan hu]	manual	emote	
Beckon	招手 [zhao shou]	manual	emote	
Laugh	笑 [xiao]	manual	emote	
Jump for Joy	雀跃 [que yue]	manual	emote	
Yawn	打哈欠 [da ha qian]	manual	emote	
Dance	舞蹈 [wu dao]	manual	emote	
Jig	夹具 [jia ju]	manual	emote	
Spin	旋转 [xuan zhuan]	manual	emote	
Headbang	头撞 [tou zhuang]	manual	emote	
Cry	哭 [ku]	manual	emote	
Blow Kiss	飞吻 [fei wen]	manual	emote	
Panic	恐慌 [kong huang]	manual	emote	
Raspberry	覆盆子 [fu pen zi]	manual	emote	
Clap	拍 [pai]	manual	emote	
Salute	礼炮 [li pao]	manual	emote	
Goblin Bow	哥布林弓 [ge bu lin gong]	manual	emote	
Goblin Salute	妖精敬礼 [yao jing jing li]	manual	emote	
Glass Box	玻璃盒 [bo li he]	manual	emote	
Climb Rope	攀爬绳 [pan pa sheng]	manual	emote	
Lean	倾斜 [qing xie]	manual	emote	
Glass Wall	玻璃墙 [bo li qiang]	manual	emote	
Idea	主意 [zhu yi]	manual	emote	
Stamp	邮票 [you piao]	manual	emote	
Flap	皮瓣 [pi ban]	manual	emote	
Slap Head	拍打头 [pai da tou]	manual	emote	
Zombie Walk	僵尸行走 [jiang shi xing zou]	manual	emote	
Zombie Dance	僵尸舞 [jiang shi wu]	manual	emote	
Scared	害怕的 [hai pa de]	manual	emote	
